Run (MB/s),Mersenne Twister,SPCG64,Xoroshiro 128+,Xorshift 128+,Baseline
1,2180.554199,5136.889893,7362.276733,7195.147034,13212.65985
2,2183.207397,5136.96228,7356.12854,7161.204102,12938.10339
3,2141.829407,5038.111938,7356.274231,7192.27356,12950.93854
4,2172.540955,5135.156006,7331.380554,7125.368896,12951.49048
5,2134.583557,4911.804443,7353.157227,7151.425049,12973.20654
6,2176.832764,5091.07605,7367.364136,7165.880371,12091.4751
7,1986.718384,4640.877258,7052.486572,6891.159912,11757.05872
8,2128.330322,4995.516479,6789.67627,6890.456848,11811.56122
9,2137.478333,5039.748352,7196.274597,7104.454773,11421.01978
10,1947.799683,4937.038269,6517.924255,6865.87616,12014.32385
11,2138.085083,5096.480042,7223.785217,7102.024109,11781.37787
12,2153.287354,5081.974548,7013.921021,6334.16394,10728.89191
13,2167.143005,4902.935547,7007.157227,6974.297424,11433.02429
14,2175.073669,5101.315979,7318.907166,7117.560181,12054.39661
15,2176.31134,5121.773193,7324.67334,7116.854126,11889.42505
16,2110.075256,4996.920959,7330.94397,7121.918457,12066.84161
17,2106.014832,5000.789551,7164.341919,6908.04895,11414.00232
18,2145.647461,5038.299866,7136.234558,6895.696777,11715.8205
19,2158.951416,5010.975281,7224.778625,6980.588928,12018.39752
20,2151.159363,5096.119019,7311.734741,7090.143982,12104.26477
21,1973.712769,3938.929199,7276.780945,7134.731262,12203.58136
22,1958.91217,4928.751343,7224.669312,7163.414429,12047.30084
23,2097.884094,4971.50415,7220.910034,7053.356506,12010.31323
24,2166.949585,5048.217346,7185.246216,7019.130798,11123.20685
25,2160.115417,5052.803833,7201.05658,7060.436462,11848.27905
26,2093.945862,5019.524109,7174.64801,6801.745361,11957.45837
27,2153.769348,5027.185364,7258.808655,7043.985474,11579.19446
28,2156.737671,5092.374084,7330.437744,7161.199036,11831.04059
29,2168.684753,5079.954224,7284.687927,7137.909912,12050.57428
30,2171.136536,5095.058716,7269.559448,7086.5354,11967.06842